Tanggal Penerimaan,No SO,No PO,Nama Vendor,No Handphone Vendor,Alamat Vendor,Kategori Produk,Jenis Produk,Nama Produk,Qty,Satuan,Kondisi Produk,Link Dokumen QC,Checklist Keuangan
2026-05-18,S02615,P00081,Kembar Teknika,62823-2220-1081,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Bollard,Bollard Sleman,3,Unit,Lolos,https://drive.google.com/file/d/186slQWR2CtpFxshwDmuP8jXk5ZAfhb-9/view?usp=sharing,False
2026-05-18,S00450,P00086,Futastone,62 823-2220-4090,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Bollard,"Bollard Teraso 23 x 23 cm, tinggi 100 cm",8,Unit,Lolos,https://drive.google.com/file/d/1PrPlet7ZehnrjYMaPTd5ylQ2Ni55riCK/view?usp=sharing,False
2026-05-19,S00548,P00105,Teknika Jaya (Bu Yusri),85802773253,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Giboult,"Giboult Join for PVC P.20cm Uk. 2""",49,Unit,Lolos,https://drive.google.com/file/d/1VLEI2BsnKB0l0kOUAgdRRtxetOKBkh9T/view?usp=sharing,False
2026-05-19,S00548,P00105,Teknika Jaya (Bu Yusri),85802773253,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Giboult,"Giboult Join for PVC P.20cm Uk. 3""",14,Unit,Lolos,https://drive.google.com/file/d/1VLEI2BsnKB0l0kOUAgdRRtxetOKBkh9T/view?usp=sharing,False
2026-05-19,S00548,P00105,Teknika Jaya (Bu Yusri),85802773253,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Giboult,"Giboult Join for PVC P.20cm Uk. 4""",22,Unit,Lolos,https://drive.google.com/file/d/1VLEI2BsnKB0l0kOUAgdRRtxetOKBkh9T/view?usp=sharing,False
2026-05-19,S00548,P00105,Teknika Jaya (Bu Yusri),85802773253,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Giboult,"Giboult Join for PVC P.20cm Uk. 6""",2,Unit,Lolos,https://drive.google.com/file/d/1VLEI2BsnKB0l0kOUAgdRRtxetOKBkh9T/view?usp=sharing,False
2026-05-19,S00548,P00105,Teknika Jaya (Bu Yusri),85802773253,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Giboult,"Giboult Join for PVC P.20cm Uk. 8""",8,Unit,Lolos,https://drive.google.com/file/d/1VLEI2BsnKB0l0kOUAgdRRtxetOKBkh9T/view?usp=sharing,False
2026-05-19,S00451,P00085,Kembar Jaya,85185981865,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Grill Chamber,Grill Chamber uk. 31x50 cm FC,8,Unit,Lolos,https://drive.google.com/file/d/1RU8T5hkdUTqBvGdJYJY5yU-3q-XULQ1O/view?usp=sharing,False
2026-05-19,S00520,P00093,Kembar Jaya,85185981865,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Grill Chamber,Grill Chamber 39x100x3 cm beban 20T,4,Unit,Lolos,https://drive.google.com/file/d/1fXb7T-KJ0kpimEIX5h_09C-6UnQkH3C3/view?usp=sharing,False
2026-05-19,S00316,P00055,Pak Mujiyono Ngawen,87838561570,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Kaki Meja,Kaki Meja Custom,127,Unit,Tidak Lolos,https://drive.google.com/file/d/10h0goiXeLWdp0VD88AluRUiqpKLrDeRr/view?usp=sharing,False
2026-05-19,S00009,P00067,Kembar Jaya,85185981865,"Jawa Tengah, Klaten, Ceper",Street Furniture & Landscape,Manhole,Manhole Bulat Smart Forest (FCD DC),2,Unit,Lolos,https://drive.google.com/file/d/1lD7INZe66ucbLjabkhjA9SgLSkStdfZv/view?usp=sharing,False
